"decimalLon","decimalLat","bio6","bio14","cmi_max"
-71.348691441188,-14.260755135412,2709,52,905
-75.615689040758,-13.766681729146,2827,20,-190
-69.462229344536,-20.45913059584,2843,1,-828
-73.100406245222,-15.203986183738,2688,95,2378
-78.40046642153,-9.544599893782,NA,NA,NA
-72.33683825372,-16.147217232064,2894,7,-957
-72.78599589578,-16.326880288888,2854,6,-934
-69.552060872948,-15.74297535421,2795,88,2136
-72.920743188398,-13.856513257558,2757,95,1865
-76.244509739642,-9.948841771636,2839,95,-583
-71.618186026424,-16.102301467858,2745,51,237
-78.130971836294,-9.140358015928,2891,23,-102
-70.09105004342,-20.189636010604,2836,13,-649
-72.381754017926,-15.024323126914,2671,118,1897
-70.001218515008,-20.953204002106,2817,24,-748
-76.334341268054,-10.038673300048,2755,143,770
-74.627542228226,-15.024323126914,2848,9,-763
-76.15467821123,-13.587018672322,2879,4,-960
-70.54020768548,-14.530249720648,2702,55,813
-75.121615634492,-13.227692558674,2680,258,1284
-69.282566287712,-19.246404962278,2706,24,603
-68.204587946768,-19.470983783308,2705,12,-435
-72.606332838956,-15.29381771215,2669,134,1887
-76.963161966938,-9.364936836958,2710,226,1478
-73.729226944106,-14.62008124906,2688,112,1541
-68.698661353034,-15.96755417524,2758,145,1757
-78.041140307882,-9.90392600743,2894,5,-617
-77.636898430028,-9.90392600743,2788,15,1755
-74.35804764299,-14.036176314382,2711,80,822
-69.102903230888,-19.605731075926,2684,23,379
-75.076699870286,-11.880219632494,2685,351,2291
-74.492794935608,-13.587018672322,2752,79,-24
-69.372397816124,-18.43792120657,2691,37,764
-68.698661353034,-14.754828541678,2842,624,906
-75.975015154406,-12.958197973438,2809,59,196
-73.639395415694,-15.698059590004,2798,14,-432
-68.833408645652,-20.00997295378,2707,21,-335
-70.630039213892,-14.62008124906,2698,59,1794
-76.873330438526,-9.45476836537,2718,257,1479
-70.405460392862,-15.922638411034,2679,50,1594
-73.369900830458,-14.215839371206,2724,118,1980
-75.660604804964,-10.892072819962,2733,739,2946
-72.78599589578,-13.766681729146,2732,126,2971
-73.863974236724,-15.608228061592,2785,14,-81
-73.90889000093,-15.877722646828,2844,25,-848
-72.202090961102,-15.06923889112,2673,110,1863
-71.528354498012,-14.62008124906,2692,64,1371
-69.821555458184,-14.889575834296,2700,64,748
-73.6843111799,-13.137861030262,2746,128,965
-76.873330438526,-9.859010243224,2747,137,432
-76.199593975436,-12.733619152408,2863,18,-292
-74.537710699814,-15.248901947944,2860,10,-927
