"decimalLon","decimalLat","bio6","bio14","cmi_max"
-68.833408645652,-22.92949762717,2752,6,-693
-68.024924889944,-22.92949762717,2741,31,-465
-68.204587946768,-22.92949762717,2762,8,-567
-68.204587946768,-22.884581862964,2760,10,-613
-67.665598776296,-22.884581862964,2629,41,-442
-68.339335239386,-22.839666098758,2753,6,-619
-68.339335239386,-22.794750334552,2738,7,-699
-68.29441947518,-22.794750334552,2749,8,-611
-68.06984065415,-22.794750334552,2733,35,-515
-68.024924889944,-22.749834570346,2715,42,-478
-68.06984065415,-22.749834570346,2727,38,-502
-68.384251003592,-22.70491880614,2712,11,-601
-68.429166767798,-22.70491880614,2717,11,-620
-68.024924889944,-22.70491880614,2699,43,-422
-68.474082532004,-22.70491880614,2722,11,-599
-68.474082532004,-22.70491880614,2722,11,-599
-68.204587946768,-22.660003041934,2717,23,-663
-68.339335239386,-22.660003041934,2715,12,-631
-68.563914060416,-22.660003041934,2732,9,-602
-68.06984065415,-22.615087277728,2680,40,-349
-68.339335239386,-22.570171513522,2697,20,-568
-68.384251003592,-22.570171513522,2699,18,-593
-68.06984065415,-22.48033998511,2668,40,-206
-68.204587946768,-22.390508456698,2704,30,-395
-68.204587946768,-22.390508456698,2704,30,-395
-68.024924889944,-22.345592692492,2674,41,-122
-68.249503710974,-22.345592692492,2711,28,-445
-68.339335239386,-22.345592692492,2718,22,-504
-68.339335239386,-22.345592692492,2718,22,-504
-68.384251003592,-22.300676928286,2723,18,-641
-68.114756418356,-22.300676928286,2707,31,-339
-68.653745588828,-22.210845399874,2716,8,-816
-68.698661353034,-21.986266578844,2712,11,-770
-68.653745588828,-21.986266578844,2720,10,-778
-68.653745588828,-21.986266578844,2720,10,-778
-68.563914060416,-21.941350814638,2726,18,-684
-68.833408645652,-21.941350814638,2693,15,-757
-68.833408645652,-21.941350814638,2693,15,-757
-68.878324409858,-21.941350814638,2711,17,-725
-68.833408645652,-21.896435050432,2684,16,-733
-68.608829824622,-21.896435050432,2725,14,-807
-68.74357711724,-21.626940465196,2695,15,-639
-68.788492881446,-21.626940465196,2683,18,-611
-68.788492881446,-21.537108936784,2677,19,-533
-68.653745588828,-21.222698587342,2693,34,-297
-68.878324409858,-21.087951294724,2733,27,-171
-68.788492881446,-20.998119766312,2688,38,21
-68.878324409858,-20.953204002106,2713,28,-126
-69.013071702476,-20.953204002106,2770,13,-501
-68.563914060416,-20.9082882379,2663,31,-123
-68.788492881446,-20.9082882379,2690,36,25
-68.923240174064,-20.863372473694,2706,25,-170
-68.653745588828,-20.863372473694,2697,25,-443
-69.057987466682,-20.818456709488,2781,11,-529
-69.057987466682,-20.818456709488,2781,11,-529
-68.653745588828,-20.773540945282,2702,21,-551
-68.96815593827,-20.773540945282,2715,21,-242
-68.833408645652,-20.414214831634,2690,25,-370
-69.102903230888,-20.369299067428,2744,14,-406
-69.057987466682,-20.369299067428,2718,19,-297
-69.057987466682,-20.279467539016,2715,20,-218
-69.147818995094,-20.279467539016,2764,11,-473
-69.147818995094,-20.279467539016,2764,11,-473
-69.1927347593,-20.279467539016,2782,8,-626
-69.237650523506,-19.875225661162,2769,8,-395
-69.282566287712,-19.740478368544,2767,7,-364
-69.237650523506,-19.740478368544,2751,10,-206
-69.1927347593,-19.515899547514,2722,19,332
-69.057987466682,-19.33623649069,2704,30,408
-69.372397816124,-18.707415791806,2688,26,566
-69.596976637154,-18.707415791806,2746,11,149
-69.41731358033,-18.6625000276,2700,24,439
-69.552060872948,-18.6625000276,2732,16,422
-69.327482051918,-18.617584263394,2664,30,677
-69.507145108742,-18.617584263394,2733,19,341
-69.507145108742,-18.527752734982,2739,19,330
-69.507145108742,-18.482836970776,2739,21,495
-69.686808165566,-18.43792120657,2751,10,251
-69.552060872948,-18.393005442364,2750,20,478
-69.596976637154,-18.393005442364,2752,17,424
-69.507145108742,-18.393005442364,2715,25,708
-69.731723929772,-18.393005442364,2754,10,75
-69.596976637154,-18.303173913952,2749,19,402
-69.327482051918,-18.303173913952,2696,38,575
-69.552060872948,-18.258258149746,2731,23,413
-69.552060872948,-18.258258149746,2731,23,413
-69.237650523506,-18.21334238554,2687,44,809
-69.596976637154,-18.168426621334,2741,22,265
-69.507145108742,-18.168426621334,2705,33,529
-69.552060872948,-18.078595092922,2694,36,659
-69.552060872948,-18.078595092922,2694,36,659
-69.462229344536,-18.033679328716,2699,42,685
-69.552060872948,-18.033679328716,2712,36,559
-69.64189240136,-17.98876356451,2737,24,-82
-69.86647122239,-17.943847800304,2762,15,-100
-69.41731358033,-17.943847800304,2704,35,403
-69.821555458184,-17.854016271892,2739,17,150
-69.821555458184,-17.674353215068,2697,24,348
-70.54020768548,-17.180279808802,2728,31,-67
-70.630039213892,-17.135364044596,2735,27,18
-71.4385229696,-16.237048760476,2717,39,86
-72.381754017926,-16.147217232064,2884,6,-1004
-71.303775676982,-16.147217232064,2702,42,48
-71.618186026424,-16.147217232064,2746,46,165
-71.528354498012,-16.057385703652,2706,57,418
-71.303775676982,-15.96755417524,2696,43,81
-71.393607205394,-15.922638411034,2678,56,474
-71.4385229696,-15.877722646828,2681,57,489
-72.516501310544,-15.608228061592,2705,136,722
-75.346194455522,-15.114154655326,2878,6,-871
-75.391110219728,-15.024323126914,2886,5,-1083
-73.819058472518,-15.024323126914,2768,72,1027
-74.402963407196,-14.754828541678,2717,73,725
-74.402963407196,-14.664997013266,2708,79,712
-74.313131878784,-14.664997013266,2691,96,865
