"decimalLon","decimalLat","bio6","bio14","cmi_max"
-73.863974236724,-41.524624008454,NA,NA,NA
-70.495291921274,-45.971284664848,2705,84,60
-66.542704671146,-41.479708244248,2729,177,-180
-73.190237773634,-43.051759991458,NA,NA,NA
-64.92573715973,-40.266982610686,2760,194,-145
-65.37489480179,-44.129738332402,2783,104,-241
-64.02742187561,-43.096675755664,NA,NA,NA
-72.56141707475,-38.694930863476,2763,468,2549
-69.686808165566,-55.358679383902,NA,NA,NA
-70.135965807626,-53.067975409396,2726,313,131
-69.327482051918,-48.845893574032,2713,154,25
-68.51899829621,-47.049263005792,2719,114,-83
-71.932596375866,-43.276338812488,2713,953,3581
-68.788492881446,-49.923871914976,2715,169,-72
-70.270713100244,-48.486567460384,2657,175,68
-71.618186026424,-46.869599948968,2644,327,691
-65.82405244385,-43.994991039784,2744,147,-151
-66.946946549,-44.48906444605,2739,137,-81
-73.055490481016,-46.375526542702,2692,2337,4440
-65.913883972262,-45.072969380728,NA,NA,NA
-71.752933319042,-50.597608378066,2660,192,53
-69.147818995094,-43.905159511372,2721,59,-11
-69.731723929772,-45.16280090914,2702,149,147
-70.944449563334,-48.53148322459,2659,111,72
-71.977512140072,-49.295051216092,2691,88,-48
-72.696164367368,-46.28569501429,2684,1610,3269
-68.06984065415,-39.99748802545,2735,146,-67
-71.88768061166,-41.34496095163,2681,1110,5346
-68.024924889944,-42.647518113604,2711,169,-43
-68.159672182562,-41.255129423218,2704,170,9
-70.001218515008,-41.928865886308,2708,154,316
-72.247006725308,-53.112891173602,NA,NA,NA
-72.11225943269,-48.666230517208,2625,306,494
-73.953805765136,-50.732355670684,2687,4947,8115
-69.507145108742,-48.037409818324,2679,221,167
-70.135965807626,-39.638161911802,2715,126,308
-68.653745588828,-43.59074916193,2718,87,-92
-71.528354498012,-48.890809338238,2678,89,-30
-69.102903230888,-47.543336412058,2682,178,88
-64.566411046082,-42.602602349398,NA,NA,NA
-71.977512140072,-41.210213659012,2706,1227,5909
-68.74357711724,-42.69243387781,2677,222,203
-71.528354498012,-38.021194400386,2707,482,4079
-68.249503710974,-47.363673355234,2712,163,80
-72.426669782132,-43.59074916193,2684,2265,6067
-68.384251003592,-42.827181170428,2698,202,54
-72.920743188398,-39.99748802545,2755,495,3208
