"decimalLon","decimalLat","bio6","bio14","cmi_max"
-67.216441134236,-55.223932091284,2709,1151,1564
-68.159672182562,-55.089184798666,2704,547,593
-68.159672182562,-55.089184798666,2704,547,593
-67.216441134236,-55.089184798666,2689,1090,1419
-67.530851483678,-55.04426903446,2676,972,1176
-68.159672182562,-54.999353270254,2685,638,799
-67.84526183312,-54.999353270254,2665,941,1110
-67.890177597326,-54.999353270254,2671,760,924
-68.339335239386,-54.999353270254,NA,NA,NA
-68.249503710974,-54.999353270254,NA,NA,NA
-68.923240174064,-54.954437506048,NA,NA,NA
-68.384251003592,-54.954437506048,NA,NA,NA
-67.39610419106,-54.909521741842,NA,NA,NA
-67.84526183312,-54.864605977636,2689,440,381
-67.575767247884,-54.864605977636,2678,647,715
-68.563914060416,-54.864605977636,NA,NA,NA
-68.563914060416,-54.864605977636,NA,NA,NA
-68.833408645652,-54.81969021343,NA,NA,NA
-68.429166767798,-54.81969021343,2668,823,966
-68.29441947518,-54.81969021343,2689,467,464
-68.429166767798,-54.774774449224,2648,906,1070
-68.474082532004,-54.729858685018,2664,808,976
-69.372397816124,-54.684942920812,2696,1662,2005
-67.800346068914,-54.684942920812,2671,547,677
-67.890177597326,-54.684942920812,2651,735,846
-68.114756418356,-54.684942920812,2658,694,826
-68.51899829621,-54.684942920812,2663,752,924
-68.788492881446,-54.5951113924,2684,793,919
-68.114756418356,-54.550195628194,2678,457,509
-68.563914060416,-54.505279863988,2686,532,645
-68.204587946768,-54.505279863988,2661,678,884
-67.17152537003,-54.505279863988,2691,352,369
-67.081693841618,-54.460364099782,2693,402,444
-68.923240174064,-54.460364099782,2681,818,899
-69.013071702476,-54.460364099782,NA,NA,NA
-67.485935719472,-54.460364099782,2689,328,388
-68.698661353034,-54.460364099782,2669,902,1054
-67.216441134236,-54.415448335576,2696,323,323
-67.441019955266,-54.37053257137,2697,281,244
-67.710514540502,-54.37053257137,2684,290,256
-67.84526183312,-54.37053257137,2690,302,358
-67.485935719472,-54.37053257137,2694,287,232
-67.261356898442,-54.37053257137,2697,326,339
-67.306272662648,-54.325616807164,2705,267,214
-68.833408645652,-54.325616807164,2676,903,1075
-67.755430304708,-54.280701042958,2694,228,150
-67.306272662648,-54.280701042958,2706,289,238
-66.72236772797,-54.280701042958,NA,NA,NA
-67.216441134236,-54.280701042958,2714,257,237
-66.812199256382,-54.235785278752,NA,NA,NA
-68.563914060416,-54.235785278752,2684,539,600
-67.036778077412,-54.190869514546,2727,244,206
-67.216441134236,-54.190869514546,2723,248,202
-68.788492881446,-54.190869514546,2690,595,652
-67.261356898442,-54.14595375034,2725,246,173
-67.710514540502,-54.14595375034,2701,224,125
-68.698661353034,-54.14595375034,2697,460,479
-68.698661353034,-54.14595375034,2697,460,479
-69.327482051918,-54.14595375034,2679,993,1237
-69.372397816124,-54.101037986134,2685,984,1227
-67.306272662648,-54.101037986134,2726,246,197
-68.563914060416,-54.011206457722,2701,278,197
