"decimalLon","decimalLat","bio6","bio14","cmi_max"
-71.573270262218,-31.059250948456,2818,14,439
-63.847758818786,-39.54833038339,2766,216,-178
-67.62068301209,-27.960063218242,2773,12,-530
-64.25200069664,-20.728625181076,2826,56,49
-68.429166767798,-35.101669726996,2710,151,-293
-70.405460392862,-29.172788851804,2676,156,444
-68.608829824622,-28.409220860302,2636,115,-248
-68.96815593827,-37.796615579356,2709,239,22
-65.509642094408,-18.168426621334,2799,30,-236
-69.596976637154,-29.756693786482,2562,166,270
-65.195231744966,-22.839666098758,2715,91,1906
-70.360544628656,-24.321886317556,2813,4,-867
-68.878324409858,-24.456633610174,2692,5,-535
-68.29441947518,-33.664365272404,2760,94,-340
-68.563914060416,-29.936356843306,2719,45,-379
-65.59947362282,-39.144088505536,2764,196,-183
-63.039275063078,-20.414214831634,2843,97,283
-70.180881571832,-32.047397760988,2618,202,1661
-68.024924889944,-36.538974181588,2748,136,-270
-66.318125850116,-36.134732303734,2771,120,-335
-66.228294321704,-20.054888717986,2701,13,580
-67.575767247884,-27.6456528688,2755,14,-727
-70.944449563334,-29.846525314894,2768,54,147
-69.552060872948,-29.66686225807,2572,108,140
-66.812199256382,-19.33623649069,2707,29,2092
-68.51899829621,-35.28133278382,2724,129,-255
-69.282566287712,-25.3998646585,2702,23,-506
-65.779136679644,-37.97627863618,2769,198,-216
-67.62068301209,-30.026188371718,2749,15,-550
-64.47657951767,-36.85338453103,2769,187,-249
-67.17152537003,-27.960063218242,2791,9,-483
-66.49778890694,-27.376158283564,2715,27,-198
-67.800346068914,-16.4167118173,2755,509,3081
-67.980009125738,-31.373661297898,2676,28,-359
-65.59947362282,-21.986266578844,2709,7,191
-63.80284305458,-22.03118234305,2827,58,694
-66.542704671146,-22.300676928286,2654,5,868
-66.452873142734,-23.60323409026,2665,3,-313
-69.102903230888,-32.182145053606,2659,109,-336
-63.623179997756,-19.156573433866,2846,93,176
-70.495291921274,-31.193998241074,2612,203,2185
-67.935093361532,-29.21770461601,2746,54,-443
-65.15031598076,-18.482836970776,2792,18,-188
-66.991862313206,-36.988131823648,2768,138,-261
-65.15031598076,-18.976910377042,2790,19,-51
-66.857115020588,-22.121013871462,2633,12,986
-65.59947362282,-17.898932036098,2770,54,688
-64.207084932434,-18.572668499188,2821,89,306
-66.812199256382,-27.555821340388,2780,24,-421
-69.147818995094,-28.813462738156,2621,39,-341
-63.12910659149,-39.09917274133,2771,237,-161
-64.521495281876,-36.538974181588,2771,160,-246
-71.034281091746,-28.049894746654,2816,6,-392
-71.348691441188,-34.697427849142,2774,11,1205
-65.82405244385,-18.348089678158,2777,36,195
-65.329979037584,-23.019329155582,2733,37,1424
-70.899533799128,-27.42107404777,2834,7,-482
-69.911386986596,-34.3830174997,2613,155,2501
-66.812199256382,-25.17528583747,2683,11,-298
-63.623179997756,-38.560183570858,2771,236,-162
-70.270713100244,-26.702421820474,2781,1,-507
-65.644389387026,-19.470983783308,2707,22,-167
-69.64189240136,-27.061747934122,2701,36,-270
-64.431663753464,-21.312530115754,2778,31,339
-71.169028384364,-31.373661297898,2774,23,485
-69.776639693978,-34.3830174997,2637,166,1450
-63.263853884108,-39.32375156236,2769,234,-154
-64.790989867112,-36.538974181588,2771,160,-270
-68.96815593827,-24.995622780646,2641,8,-440
-68.204587946768,-38.245773221416,2744,168,-158
-64.746074102906,-22.92949762717,2824,173,2471
-66.767283492176,-29.981272607512,2796,23,-521
-71.4385229696,-31.23891400528,2805,11,331
-67.530851483678,-24.95070701644,2664,5,-507
-67.935093361532,-20.863372473694,2700,9,-731
-67.800346068914,-32.271976582018,2779,17,-485
-70.674954978098,-31.104166712662,2691,92,1101
-66.407957378528,-36.718637238412,2771,148,-295
-65.689305151232,-22.345592692492,2692,5,28
-64.162169168228,-36.718637238412,2769,184,-202
-64.92573715973,-19.066741905454,2765,23,358
-61.467223315868,-38.42543627824,2770,318,-87
-67.17152537003,-22.70491880614,2636,11,-346
-68.833408645652,-27.555821340388,2587,45,-166
-67.17152537003,-18.797247320218,2717,25,604
-66.183378557498,-18.6625000276,2727,31,305
-66.542704671146,-29.801609550688,2798,23,-548
-70.135965807626,-23.962560203908,2811,4,-789
-67.980009125738,-27.915147454036,2681,16,-537
-69.282566287712,-27.331242519358,2572,115,76
-65.554557858614,-24.995622780646,2801,39,357
-63.623179997756,-19.021826141248,2839,134,709
-67.216441134236,-21.087951294724,2638,9,621
-66.228294321704,-23.333739505024,2666,3,-44
-67.036778077412,-26.477842999444,2598,10,-433
-63.12910659149,-19.021826141248,2878,117,210
-62.724864713636,-38.65001509927,2773,279,-146
-65.779136679644,-23.782897147084,2705,29,858
-66.138462793292,-17.31502710142,2727,353,2513
-70.09105004342,-28.54396815292,2631,225,715
-70.001218515008,-24.95070701644,2774,1,-888
-65.464726330202,-20.68370941687,2765,11,-463
-63.80284305458,-20.863372473694,2840,66,567
-68.474082532004,-24.05239173232,2679,10,-499
-69.776639693978,-34.966922434378,2670,244,273
-69.776639693978,-23.82781291129,2810,0,-854
-65.958799736468,-25.84902230056,2785,16,-732
-69.282566287712,-26.118516885796,2640,41,-315
-66.27321008591,-25.354948894294,2760,44,204
-69.686808165566,-30.295682956954,2568,378,704
-70.54020768548,-34.427933263906,2688,78,2866
-69.237650523506,-37.841531343562,2749,148,-33
