"decimalLon","decimalLat","bio6","bio14","cmi_max"
-62.00621248634,-39.054256977124,NA,NA,NA
-62.140959778958,-39.009341212918,NA,NA,NA
-65.419810565996,-38.784762391888,2766,191,-214
-65.509642094408,-38.784762391888,2768,185,-199
-64.790989867112,-38.784762391888,2767,201,-206
-64.431663753464,-38.380520514034,2767,215,-215
-69.282566287712,-38.380520514034,2735,127,-68
-64.656242574494,-38.335604749828,2765,209,-229
-69.1927347593,-38.335604749828,2743,128,-64
-69.372397816124,-38.20085745721,2716,153,-97
-61.961296722134,-38.155941693004,2744,415,-42
-61.78163366531,-38.155941693004,2763,290,-69
-61.961296722134,-38.155941693004,2744,415,-42
-62.140959778958,-38.155941693004,2762,409,-17
-65.734220915438,-38.111025928798,2769,196,-233
-61.826549429516,-38.111025928798,2759,295,-108
-61.916380957928,-38.066110164592,2756,337,-1
-62.140959778958,-38.066110164592,2756,422,72
-62.00621248634,-38.066110164592,2748,391,112
-62.185875543164,-38.021194400386,2759,387,43
-65.554557858614,-38.021194400386,2762,223,-226
-65.554557858614,-38.021194400386,2762,223,-226
-65.59947362282,-37.97627863618,2762,225,-206
-65.554557858614,-37.97627863618,2762,221,-218
-62.275707071576,-37.931362871974,2759,364,58
-69.282566287712,-37.886447107768,2750,124,-99
-68.51899829621,-37.886447107768,2753,160,-106
-65.464726330202,-37.886447107768,2765,183,-236
-62.140959778958,-37.796615579356,2751,315,-16
-68.878324409858,-37.75169981515,2688,233,-63
-68.474082532004,-37.706784050944,2752,154,-127
-68.833408645652,-37.661868286738,2716,166,-206
-63.533348469344,-37.661868286738,2767,229,-45
-68.74357711724,-37.616952522532,2731,154,-206
-68.608829824622,-37.52712099412,2745,137,-167
-65.105400216554,-37.482205229914,2765,186,-252
-65.060484452348,-37.437289465708,2766,176,-252
-69.282566287712,-37.437289465708,2717,126,-116
-70.585123449686,-37.392373701502,2702,102,685
-67.216441134236,-37.392373701502,2762,129,-225
-68.474082532004,-37.392373701502,2744,124,-227
-59.131603577156,-37.392373701502,2766,411,114
-64.611326810288,-37.347457937296,2767,180,-236
-68.923240174064,-37.347457937296,2737,119,-175
-64.431663753464,-37.167794880472,2767,195,-218
-64.296916460846,-37.033047587854,2767,203,-211
-64.25200069664,-36.943216059442,2769,188,-111
-64.25200069664,-36.898300295236,2769,181,-201
-64.296916460846,-36.85338453103,2770,182,-196
-64.296916460846,-36.718637238412,2771,175,-221
-64.386747989258,-36.673721474206,2770,164,-196
-69.507145108742,-36.494058417382,2721,274,150
-69.1927347593,-36.494058417382,2670,313,-2
-69.372397816124,-36.449142653176,2670,392,162
-69.462229344536,-36.40422688897,2663,412,272
-69.237650523506,-36.359311124764,2652,364,-33
-69.327482051918,-36.314395360558,2693,285,-21
-69.41731358033,-36.224563832146,2680,271,82
-68.653745588828,-36.17964806794,2709,162,-336
-69.372397816124,-36.17964806794,2685,261,27
-69.1927347593,-36.134732303734,2704,177,-142
-69.327482051918,-36.134732303734,2685,245,0
-68.339335239386,-36.134732303734,2734,146,-271
-69.552060872948,-36.089816539528,2666,275,275
-69.1927347593,-36.089816539528,2695,194,-131
-69.41731358033,-36.044900775322,2642,294,149
-69.147818995094,-36.044900775322,2699,168,-158
-68.788492881446,-36.044900775322,2704,186,-188
-69.1927347593,-35.95506924691,2692,179,-156
-68.51899829621,-34.787259377554,2720,126,-264
-70.450376157068,-34.742343613348,2684,132,3759
-70.405460392862,-34.742343613348,2710,126,3398
-68.563914060416,-34.697427849142,2725,125,-284
-68.563914060416,-34.697427849142,2725,125,-284
-68.159672182562,-34.60759632073,2757,124,-276
-70.360544628656,-34.562680556524,2626,131,4543
-70.405460392862,-34.517764792318,2665,89,3396
-68.788492881446,-34.517764792318,2706,161,-217
-70.450376157068,-34.472849028112,2649,109,4728
-70.405460392862,-34.472849028112,2679,85,3097
-66.857115020588,-34.427933263906,2781,90,-277
-69.462229344536,-34.248270207082,2600,344,585
-69.86647122239,-34.248270207082,2581,241,3328
-69.462229344536,-34.248270207082,2600,344,585
-69.86647122239,-34.203354442876,2601,205,2872
-69.731723929772,-34.203354442876,2610,226,1694
-69.552060872948,-34.203354442876,2588,279,869
-69.686808165566,-34.15843867867,2610,190,1116
-69.552060872948,-34.15843867867,2574,310,1111
-70.09105004342,-33.799112565022,2635,145,2765
-70.31562886445,-33.754196800816,2689,72,1928
-69.596976637154,-33.619449508198,2533,354,1215
-69.686808165566,-33.619449508198,2602,221,987
-69.911386986596,-33.619449508198,2627,173,2100
-70.630039213892,-33.574533743992,2758,22,1136
-69.1927347593,-33.349954922962,2718,185,-187
-71.393607205394,-33.215207630344,2790,8,1068
-71.483438733806,-33.170291866138,2801,6,801
-69.372397816124,-33.080460337726,2565,279,437
-69.776639693978,-33.080460337726,2633,176,1126
-69.372397816124,-33.03554457352,2563,283,403
-70.046134279214,-32.990628809314,2569,236,2612
-69.372397816124,-32.990628809314,2578,257,314
-69.372397816124,-32.990628809314,2578,257,314
-70.180881571832,-32.945713045108,2588,219,3098
-69.237650523506,-32.945713045108,2715,111,-395
-70.09105004342,-32.900797280902,2632,194,2335
-70.046134279214,-32.900797280902,2588,244,2809
-69.776639693978,-32.855881516696,2643,134,747
-69.327482051918,-32.855881516696,2676,135,-352
-70.225797336038,-32.855881516696,2642,143,1958
-69.282566287712,-32.855881516696,2674,143,-390
-68.96815593827,-32.81096575249,2698,86,-441
-70.046134279214,-32.81096575249,2624,226,2350
-68.96815593827,-32.81096575249,2698,86,-441
-69.057987466682,-32.81096575249,2654,127,-257
-69.327482051918,-32.766049988284,2715,95,-332
-70.09105004342,-32.766049988284,2612,230,2430
-68.833408645652,-32.721134224078,2763,75,-340
-69.147818995094,-32.676218459872,2634,181,-200
-68.878324409858,-32.676218459872,2758,72,-363
-69.1927347593,-32.631302695666,2641,166,-235
-69.911386986596,-32.631302695666,2572,243,1706
-69.821555458184,-32.631302695666,2582,193,1177
-69.327482051918,-32.631302695666,2688,88,-381
-70.54020768548,-32.58638693146,2655,96,1035
-69.327482051918,-32.58638693146,2696,82,-362
-70.360544628656,-32.58638693146,2612,203,2036
-69.552060872948,-32.541471167254,2575,197,591
-67.126609605824,-32.541471167254,2789,23,-589
-68.96815593827,-32.541471167254,2730,69,-327
-67.036778077412,-32.541471167254,2774,29,-577
-69.013071702476,-32.541471167254,2693,79,-378
-69.057987466682,-32.496555403048,2649,99,-343
-69.057987466682,-32.496555403048,2649,99,-343
-67.081693841618,-32.496555403048,2784,25,-632
-66.991862313206,-32.496555403048,2777,28,-512
-69.057987466682,-32.496555403048,2649,99,-343
-69.596976637154,-32.496555403048,2570,182,492
-68.878324409858,-32.451639638842,2734,74,-283
-70.405460392862,-32.451639638842,2670,161,1265
-70.495291921274,-32.406723874636,2668,123,1168
-70.270713100244,-32.406723874636,2593,322,2495
-70.360544628656,-32.406723874636,2603,253,2145
-69.372397816124,-32.316892346224,2688,92,-357
-69.372397816124,-32.271976582018,2689,93,-361
-70.630039213892,-32.271976582018,2710,74,1065
-69.372397816124,-32.227060817812,2689,97,-376
-69.102903230888,-32.182145053606,2659,109,-336
-69.462229344536,-32.182145053606,2672,95,-319
-69.327482051918,-32.182145053606,2698,87,-456
-69.86647122239,-32.092313525194,2647,181,604
-69.372397816124,-32.092313525194,2705,80,-454
-69.372397816124,-31.957566232576,2723,68,-484
-70.001218515008,-31.91265046837,2628,180,853
-70.495291921274,-31.867734704164,2627,200,1319
-70.674954978098,-31.822818939958,2714,99,444
-70.674954978098,-31.822818939958,2714,99,444
-69.372397816124,-31.822818939958,2717,87,-313
-69.372397816124,-31.822818939958,2717,87,-313
-70.585123449686,-31.777903175752,2664,159,971
-69.372397816124,-31.777903175752,2714,93,-280
-70.495291921274,-31.777903175752,2612,239,1628
-69.147818995094,-31.777903175752,2636,125,-262
-69.237650523506,-31.777903175752,2676,126,-179
-70.674954978098,-31.777903175752,2715,107,667
-68.923240174064,-31.777903175752,2706,73,-425
-70.585123449686,-31.68807164734,2608,252,1539
-70.674954978098,-31.68807164734,2716,124,556
-70.54020768548,-31.68807164734,2592,299,1874
-70.630039213892,-31.643155883134,2668,176,959
-69.776639693978,-31.328745533692,2632,133,116
-69.64189240136,-31.23891400528,2675,150,-131
-64.47657951767,-31.149082476868,2776,56,45
-69.102903230888,-30.969419420044,2642,89,-332
