"decimalLon","decimalLat","bio6","bio14","cmi_max"
-77.861477251058,-9.23018954434,2717,33,1539
-75.301278691316,-11.70055657567,2689,309,2221
-72.696164367368,-14.84466007009,2662,111,1823
-66.587620435352,-16.64129063833,2759,632,3254
-65.464726330202,-17.449774394038,2724,643,4014
-75.211447162904,-13.49718714391,2712,206,810
-71.21394414857,-15.51839653318,2690,57,631
-69.282566287712,-16.237048760476,2768,112,2011
-75.70552056917,-11.071735876786,2719,564,2260
-69.552060872948,-16.551459109918,2686,110,1696
-70.495291921274,-15.653143825798,2710,34,481
-77.322488080586,-8.870863430692,2764,97,1093
-70.899533799128,-15.428565004768,2680,79,1848
-68.608829824622,-17.809100507686,2697,45,1529
-74.088553057754,-14.575165484854,2704,86,1054
-68.788492881446,-14.889575834296,2732,1138,3144
-69.686808165566,-17.854016271892,2732,21,-247
-76.60383585329,-10.532746706314,2724,129,491
-74.986868341874,-12.778534916614,2728,214,567
-78.40046642153,-8.017463910778,2764,133,899
-74.537710699814,-14.350586663824,2700,102,831
-74.627542228226,-14.081092078588,2700,110,742
-68.159672182562,-16.596374874124,2710,104,1307
-75.166531398698,-13.317524087086,2696,229,1010
-69.686808165566,-17.045532516184,2690,44,127
-67.081693841618,-17.494690158244,2703,148,1208
-68.74357711724,-18.168426621334,2694,36,367
-69.013071702476,-16.012469939446,2777,113,1773
-69.1927347593,-17.719268979274,2685,45,1193
-78.580129478354,-7.164064390864,2775,199,2674
-74.537710699814,-14.081092078588,2709,91,440
-68.833408645652,-15.832806882622,2731,211,2384
-72.426669782132,-14.84466007009,2668,130,2532
-77.367403844792,-8.691200373868,2758,126,1415
-78.62504524256,-7.029317098246,2791,187,1903
-77.681814194234,-7.4335589761,2757,243,1384
-71.303775676982,-16.147217232064,2702,42,48
-65.419810565996,-17.404858629832,2774,705,4490
-75.9300993902,-12.059882689318,2698,121,858
-77.771645722646,-7.074232862452,2738,440,2581
-72.291922489514,-14.889575834296,2665,139,2697
-69.462229344536,-16.371796053094,2709,112,1526
-72.696164367368,-13.856513257558,2715,97,2607
-69.86647122239,-15.203986183738,2730,58,1556
-72.606332838956,-14.350586663824,2678,113,3288
-76.918246202732,-10.712409763138,2701,54,994
-66.003715500674,-17.449774394038,2771,274,2116
-74.043637293548,-14.754828541678,2712,101,1501
-65.464726330202,-17.629437450862,2770,267,2478
-68.788492881446,-17.135364044596,2701,52,1290
-71.708017554836,-15.96755417524,2703,61,545
-66.902030784794,-17.854016271892,2714,87,914
-74.672457992432,-12.868366445026,2738,181,1039
-74.223300350372,-14.081092078588,2704,78,977
-76.558920089084,-10.667493998932,2712,121,388
-68.608829824622,-17.494690158244,2692,39,1201
-67.935093361532,-17.584521686656,2701,45,676
-72.696164367368,-15.383649240562,2686,112,1332
-66.542704671146,-17.76418474348,2721,59,492
-67.980009125738,-17.854016271892,2694,39,1510
-73.01057471681,-15.203986183738,2743,72,1568
-69.102903230888,-18.43792120657,2634,47,1033
-74.492794935608,-13.542102908116,2699,145,1421
-72.33683825372,-15.922638411034,2757,38,-72
-76.514004324878,-10.397999413696,2712,176,795
-66.452873142734,-16.820953695154,2726,494,3189
-73.190237773634,-14.84466007009,2679,129,1827
-66.228294321704,-18.033679328716,2726,49,998
-70.719870742304,-16.820953695154,2747,26,330
-71.303775676982,-14.709912777472,2700,68,1500
-71.528354498012,-15.473480768974,2689,57,701
-76.60383585329,-10.57766247052,2691,140,878
-70.135965807626,-14.170923607,2691,420,2858
-68.788492881446,-18.348089678158,2675,51,1157
-67.755430304708,-17.674353215068,2703,44,622
-70.76478650651,-15.698059590004,2699,35,113
-68.788492881446,-16.731122166742,2708,111,2659
-76.648751617496,-10.038673300048,2740,139,206
-72.291922489514,-15.608228061592,2734,108,558
-72.202090961102,-15.06923889112,2673,110,1863
-70.719870742304,-16.686206402536,2768,28,698
-69.956302750802,-14.889575834296,2685,77,2410
-78.40046642153,-8.062379674984,2760,134,1043
-68.06984065415,-16.326880288888,2682,522,3289
-76.873330438526,-8.960694959104,2728,672,2990
-75.301278691316,-13.49718714391,2742,193,936
-73.953805765136,-14.081092078588,2731,88,1032
-74.717373756638,-12.419208802966,2741,294,1949
-76.244509739642,-10.308167885284,2723,122,983
-70.76478650651,-15.024323126914,2673,53,2771
-66.138462793292,-18.348089678158,2736,46,876
-68.74357711724,-15.473480768974,2790,418,1013
-71.88768061166,-14.485333956442,2705,50,947
-70.450376157068,-13.94634478597,2669,610,3442
-76.873330438526,-9.00561072331,2719,608,2851
-76.873330438526,-8.466621552838,2798,850,2967
-73.998721529342,-14.979407362708,2735,61,1132
-67.84526183312,-18.078595092922,2707,40,969
-77.636898430028,-8.421705788632,2766,102,1221
-70.98936532754,-13.542102908116,2684,1615,6580
-69.686808165566,-16.686206402536,2694,64,483
-71.4385229696,-15.74297535421,2679,65,847
-68.474082532004,-17.98876356451,2696,49,2174
-76.289425503848,-11.70055657567,2691,179,1555
-72.157175196896,-14.485333956442,2690,79,2108
-69.552060872948,-14.709912777472,2683,247,2392
-67.261356898442,-18.43792120657,2702,34,626
-69.372397816124,-18.168426621334,2696,38,505
-69.911386986596,-16.910785223566,2658,57,687
-69.013071702476,-17.225195573008,2683,65,1145
-69.731723929772,-14.485333956442,2688,294,1658
-72.291922489514,-15.114154655326,2679,95,1398
-67.62068301209,-18.21334238554,2700,42,1242
-70.809702270716,-14.215839371206,2661,164,2212
-69.057987466682,-18.078595092922,2667,52,1267
-68.653745588828,-16.686206402536,2696,106,3491
-67.081693841618,-17.898932036098,2719,56,394
-69.821555458184,-17.674353215068,2697,24,348
-72.965658952604,-13.542102908116,2763,119,1992
-74.80720528505,-13.137861030262,2686,219,1401
-71.66310179063,-15.338733476356,2673,70,1112
-77.771645722646,-6.939485569834,2742,363,2238
-70.674954978098,-14.530249720648,2697,70,1599
-72.202090961102,-13.94634478597,2727,64,1245
-76.693667381702,-11.071735876786,2699,133,1343
-68.96815593827,-16.910785223566,2704,73,1445
-76.783498910114,-10.12850482846,2701,171,1359
-69.86647122239,-16.506543345712,2650,79,1501
-76.963161966938,-10.083589064254,2688,136,1600
-74.13346882196,-12.778534916614,2728,187,1729
-77.008077731144,-9.320021072752,2778,154,348
-76.019930918612,-12.239545746142,2694,104,1291
-71.258859912776,-13.407355615498,2724,904,5074
-70.09105004342,-17.584521686656,2773,18,-327
-68.923240174064,-14.799744305884,2798,876,2540
-73.145322009428,-15.114154655326,2702,99,2141
-66.49778890694,-18.303173913952,2717,42,772
-78.310634893118,-8.062379674984,2729,152,1406
-75.436025983934,-11.386146226228,2708,470,2849
-69.282566287712,-15.248901947944,2705,153,1505
-75.615689040758,-11.386146226228,2741,323,1413
-76.109762447024,-10.936988584168,2715,205,764
-68.204587946768,-18.348089678158,2705,33,922
-71.752933319042,-15.96755417524,2724,55,432
-72.965658952604,-14.934491598502,2677,125,1966
-68.833408645652,-16.102301467858,2762,109,2294
-70.046134279214,-17.629437450862,2783,17,-293
-74.80720528505,-13.137861030262,2686,219,1401
-71.393607205394,-15.114154655326,2662,89,2417
-66.452873142734,-17.629437450862,2745,54,836
-75.166531398698,-13.676850200734,2705,192,1064
-69.462229344536,-14.575165484854,2678,502,2884
-71.348691441188,-15.74297535421,2690,44,123
-70.405460392862,-15.74297535421,2688,50,1764
-68.249503710974,-16.506543345712,2709,104,838
-70.54020768548,-15.787891118416,2677,47,1564
-70.809702270716,-14.440418192236,2682,79,1810
-74.941952577668,-11.520893518846,2732,1078,4522
-67.575767247884,-17.494690158244,2709,56,352
-71.034281091746,-16.237048760476,2696,37,-162
-69.41731358033,-14.709912777472,2695,312,2255
-77.367403844792,-9.499684129576,2702,70,2101
-73.639395415694,-14.754828541678,2689,126,1602
-74.852121049256,-11.880219632494,2704,766,3671
-73.324985066252,-14.081092078588,2726,123,1885
-76.693667381702,-10.757325527344,2680,126,1504
-69.596976637154,-18.258258149746,2761,17,157
-66.767283492176,-18.348089678158,2694,58,1739
-77.906393015264,-9.320021072752,2763,22,1195
-69.372397816124,-14.350586663824,2720,1096,3848
-68.204587946768,-16.506543345712,2706,122,1096
-77.906393015264,-8.511537317044,2755,79,1556
-69.776639693978,-15.51839653318,2776,63,1789
-75.795352097582,-10.981904348374,2767,405,963
-78.265719128912,-8.376790024426,2758,101,1061
-68.698661353034,-17.045532516184,2711,60,1616
-68.114756418356,-18.033679328716,2704,35,1599
-71.528354498012,-14.530249720648,2682,66,1877
-73.998721529342,-13.317524087086,2749,63,908
-68.114756418356,-18.303173913952,2706,32,836
-76.82841467432,-8.825947666486,2743,881,2936
-69.282566287712,-17.225195573008,2677,56,656
-70.54020768548,-15.383649240562,2687,57,2114
-72.247006725308,-15.608228061592,2769,72,157
-73.594479651488,-13.587018672322,2720,147,1917
-73.594479651488,-14.215839371206,2730,75,604
-70.135965807626,-17.180279808802,2679,47,129
-77.322488080586,-8.870863430692,2764,97,1093
-72.067343668484,-12.82345068082,2759,274,3027
-66.677451963764,-17.809100507686,2717,56,457
-74.58262646402,-14.350586663824,2710,91,719
-77.097909259556,-7.972548146572,2752,647,2663
-74.088553057754,-14.215839371206,2729,76,516
-76.199593975436,-11.610725047258,2676,198,1653
-69.147818995094,-15.922638411034,2785,111,1845
-72.830911659986,-15.383649240562,2670,117,2752
-72.247006725308,-13.27260832288,2766,147,1368
-68.96815593827,-16.506543345712,2758,90,1711
-70.809702270716,-13.94634478597,2642,505,3501
-75.121615634492,-12.37429303876,2764,150,68
-75.795352097582,-12.14971421773,2717,116,393
-69.686808165566,-17.53960592245,2669,36,363
-71.258859912776,-16.012469939446,2684,49,287
-69.552060872948,-15.698059590004,2794,84,2057
-74.537710699814,-13.003113737644,2730,194,1479
-68.563914060416,-16.955700987772,2707,78,2419
-74.717373756638,-14.170923607,2708,120,934
-74.897036813462,-14.170923607,2750,67,862
-76.289425503848,-10.892072819962,2712,146,462
-76.109762447024,-11.655640811464,2683,168,1278
-69.41731358033,-16.281964524682,2718,154,3091
-73.504648123076,-15.114154655326,2725,72,1093
-71.618186026424,-13.991260550176,2719,68,1532
-76.15467821123,-12.059882689318,2700,118,981
-71.932596375866,-13.27260832288,2767,174,1651
-74.941952577668,-12.329377274554,2734,288,1756
-68.698661353034,-15.922638411034,2748,196,2584
-74.717373756638,-13.811597493352,2692,138,1164
-68.249503710974,-18.078595092922,2712,30,1185
-75.301278691316,-13.137861030262,2702,222,726
-73.324985066252,-14.934491598502,2713,89,1015
-75.346194455522,-11.565809283052,2717,367,2235
-70.225797336038,-16.102301467858,2667,61,1852
-69.956302750802,-15.203986183738,2713,46,957
-67.980009125738,-17.943847800304,2705,32,826
-74.088553057754,-14.84466007009,2716,98,1642
-67.84526183312,-18.527752734982,2694,28,677
-70.585123449686,-14.889575834296,2712,32,830
-68.923240174064,-17.000616751978,2701,77,2002
-67.351188426854,-17.674353215068,2711,50,111
-67.890177597326,-17.629437450862,2702,43,614
-74.537710699814,-14.754828541678,2753,54,458
