"decimalLon","decimalLat","bio6","bio14","cmi_max"
-69.1927347593,-18.393005442364,2683,45,743
-69.102903230888,-18.393005442364,2643,55,1326
-69.057987466682,-18.393005442364,2628,56,1429
-69.596976637154,-18.348089678158,2751,18,458
-69.1927347593,-18.303173913952,2671,52,1136
-69.372397816124,-18.303173913952,2695,40,722
-68.29441947518,-18.258258149746,2708,38,1180
-69.013071702476,-18.258258149746,2670,48,703
-69.596976637154,-18.21334238554,2757,20,230
-68.923240174064,-18.21334238554,2681,38,190
-69.1927347593,-18.21334238554,2681,46,799
-68.878324409858,-18.21334238554,2678,44,579
-68.878324409858,-18.21334238554,2678,44,579
-69.372397816124,-18.21334238554,2693,38,469
-69.552060872948,-18.168426621334,2719,27,377
-68.96815593827,-18.123510857128,2679,38,393
-69.282566287712,-18.123510857128,2693,42,721
-69.596976637154,-18.078595092922,2717,27,377
-69.41731358033,-18.078595092922,2667,46,930
-69.013071702476,-18.078595092922,2674,43,680
-68.878324409858,-18.078595092922,2645,62,1885
-69.41731358033,-17.98876356451,2702,35,354
-68.833408645652,-17.98876356451,2684,50,1112
-69.327482051918,-17.98876356451,2691,38,611
-69.327482051918,-17.854016271892,2696,34,431
-69.372397816124,-17.76418474348,2691,30,170
-69.237650523506,-17.719268979274,2685,40,950
-69.552060872948,-17.494690158244,2683,34,115
-68.698661353034,-17.359942865626,2695,45,1086
-67.441019955266,-17.359942865626,2702,103,941
-68.788492881446,-17.359942865626,2690,51,1117
-68.788492881446,-17.31502710142,2691,50,1076
-68.74357711724,-17.270111337214,2694,49,1314
-68.653745588828,-17.225195573008,2703,46,1226
-69.057987466682,-17.045532516184,2697,64,983
-67.39610419106,-17.045532516184,2670,249,1791
-69.552060872948,-17.045532516184,2661,67,1172
-66.452873142734,-17.000616751978,2714,402,3036
-68.96815593827,-16.955700987772,2700,77,1810
-70.495291921274,-16.910785223566,2681,39,469
-70.450376157068,-16.86586945936,2669,40,548
-70.630039213892,-16.86586945936,2695,32,677
-70.09105004342,-16.86586945936,2661,47,133
-70.001218515008,-16.776037930948,2659,62,601
-69.86647122239,-16.776037930948,2684,52,363
-69.013071702476,-16.731122166742,2710,95,1818
-70.046134279214,-16.686206402536,2644,76,1259
-70.585123449686,-16.596374874124,2693,47,787
-70.944449563334,-16.4167118173,2688,47,262
-70.98936532754,-16.4167118173,2688,43,163
-71.21394414857,-16.371796053094,2700,44,21
-71.169028384364,-16.371796053094,2700,40,-41
-71.303775676982,-16.326880288888,2699,37,160
-71.4385229696,-16.281964524682,2717,32,125
-70.899533799128,-16.281964524682,2682,44,371
-71.483438733806,-16.281964524682,2752,30,-37
-71.079196855952,-16.281964524682,2695,38,4
-71.21394414857,-16.237048760476,2674,53,342
-71.303775676982,-16.237048760476,2707,38,24
-71.348691441188,-16.19213299627,2710,39,-36
-71.4385229696,-16.19213299627,2706,46,49
-71.169028384364,-16.147217232064,2703,35,-253
-70.944449563334,-16.102301467858,2688,41,173
-71.4385229696,-16.102301467858,2706,42,-200
-71.573270262218,-16.102301467858,2702,57,450
-71.348691441188,-16.102301467858,2709,37,-159
-71.483438733806,-16.102301467858,2701,54,101
-70.854618034922,-16.012469939446,2671,55,1116
-71.393607205394,-16.012469939446,2699,44,43
-71.483438733806,-15.96755417524,2677,64,634
-71.21394414857,-15.96755417524,2683,49,314
-71.618186026424,-15.96755417524,2727,55,270
-71.393607205394,-15.877722646828,2686,47,199
-69.86647122239,-15.877722646828,2740,67,1511
-71.169028384364,-15.877722646828,2683,50,387
-71.483438733806,-15.877722646828,2681,68,776
-71.124112620158,-15.832806882622,2682,50,416
-71.842764847454,-15.832806882622,2669,77,1049
-70.001218515008,-15.832806882622,2722,55,1526
-71.034281091746,-15.787891118416,2682,48,436
-71.528354498012,-15.787891118416,2679,71,1085
-70.046134279214,-15.787891118416,2715,57,1952
-71.573270262218,-15.74297535421,2664,81,1531
-70.76478650651,-15.74297535421,2697,37,228
-71.752933319042,-15.74297535421,2697,65,511
-70.944449563334,-15.74297535421,2679,54,958
-71.393607205394,-15.74297535421,2691,46,166
-71.124112620158,-15.74297535421,2666,66,1194
-70.854618034922,-15.74297535421,2686,45,645
-70.180881571832,-15.74297535421,2714,42,934
-69.64189240136,-15.698059590004,2790,80,2039
-70.809702270716,-15.698059590004,2698,36,147
-71.797849083248,-15.698059590004,2671,72,776
-71.618186026424,-15.653143825798,2730,36,-165
-71.977512140072,-15.608228061592,2760,48,-88
-71.66310179063,-15.608228061592,2700,51,585
-71.573270262218,-15.608228061592,2700,49,558
-71.708017554836,-15.473480768974,2654,95,2072
-71.932596375866,-15.473480768974,2664,94,1562
-73.594479651488,-15.473480768974,2753,42,716
-73.504648123076,-15.338733476356,2732,59,1028
-69.013071702476,-15.29381771215,2678,626,2519
-69.013071702476,-15.29381771215,2678,626,2519
-69.057987466682,-15.248901947944,2684,547,2442
-71.752933319042,-15.203986183738,2683,59,609
-69.1927347593,-15.114154655326,2698,268,1346
-69.237650523506,-15.06923889112,2702,235,1483
-69.282566287712,-15.024323126914,2703,208,1607
-70.360544628656,-15.024323126914,2717,32,910
-69.282566287712,-14.979407362708,2702,237,1665
-70.405460392862,-14.934491598502,2714,32,843
-69.102903230888,-14.934491598502,2679,814,3172
-69.821555458184,-14.84466007009,2703,66,622
-71.169028384364,-14.84466007009,2700,48,903
-69.102903230888,-14.799744305884,2712,830,2887
-69.1927347593,-14.799744305884,2690,703,2949
-74.268216114578,-14.799744305884,2709,90,775
-74.402963407196,-14.754828541678,2717,73,725
-69.821555458184,-14.709912777472,2682,136,2133
-73.863974236724,-14.62008124906,2689,113,1699
-73.639395415694,-14.62008124906,2689,104,1375
-69.776639693978,-14.575165484854,2674,227,2197
-74.402963407196,-14.575165484854,2697,83,663
