"decimalLon","decimalLat","bio6","bio14","cmi_max"
-66.902030784794,-21.447277408372,2680,10,436
-66.228294321704,-19.875225661162,2698,12,181
-67.890177597326,-20.369299067428,2670,8,-663
-65.689305151232,-21.177782823136,2708,12,855
-67.306272662648,-19.78539413275,2689,14,22
-66.093547029086,-18.707415791806,2701,45,939
-69.41731358033,-18.527752734982,2675,31,862
-66.72236772797,-19.33623649069,2697,37,2943
-66.677451963764,-18.6625000276,2706,45,1576
-68.653745588828,-18.6625000276,2693,20,258
-68.339335239386,-21.222698587342,2697,24,-477
-67.575767247884,-20.68370941687,2678,8,-535
-66.138462793292,-20.504046360046,2725,8,-209
-68.339335239386,-19.56081531172,2702,14,-423
-67.980009125738,-18.931994612836,2681,18,348
-67.755430304708,-19.156573433866,2693,17,277
-68.339335239386,-21.13286705893,2677,27,-270
-67.306272662648,-21.13286705893,2658,6,-45
-64.835905631318,-19.740478368544,2743,27,358
-66.946946549,-19.695562604338,2682,21,944
-67.890177597326,-21.447277408372,2671,18,-49
-68.788492881446,-19.875225661162,2700,23,-173
-68.29441947518,-19.33623649069,2670,23,641
-67.710514540502,-19.830309896956,2696,14,176
-67.980009125738,-19.11165766966,2687,13,68
-67.081693841618,-19.246404962278,2700,20,581
-68.114756418356,-19.021826141248,2687,14,50
-65.913883972262,-20.144720246398,2697,12,296
-66.587620435352,-19.875225661162,2680,28,2181
-65.689305151232,-19.605731075926,2665,31,518
-65.82405244385,-20.23455177481,2737,10,36
-66.138462793292,-18.617584263394,2703,50,1214
-68.698661353034,-19.066741905454,2662,27,541
-69.013071702476,-18.572668499188,2672,33,463
-67.441019955266,-19.830309896956,2689,12,-49
-66.27321008591,-19.830309896956,2692,14,385
-67.216441134236,-20.414214831634,2668,6,-710
-65.958799736468,-19.246404962278,2663,24,960
-67.710514540502,-20.144720246398,2674,7,-723
-65.779136679644,-20.818456709488,2742,9,17
-66.542704671146,-19.920141425368,2658,23,2019
-66.72236772797,-19.066741905454,2735,41,2360
-65.240147509172,-20.189636010604,2753,24,400
-66.587620435352,-18.617584263394,2688,43,1448
-68.833408645652,-21.402361644166,2690,25,-335
-66.946946549,-20.773540945282,2682,7,-349
-65.419810565996,-21.58202470099,2697,18,659
-68.833408645652,-18.976910377042,2674,30,553
-68.474082532004,-21.402361644166,2660,34,-91
-65.644389387026,-21.402361644166,2717,11,691
-65.958799736468,-20.998119766312,2688,8,585
-67.036778077412,-20.23455177481,2698,10,-272
-67.84526183312,-19.470983783308,2711,11,-148
-67.485935719472,-21.13286705893,2659,7,-72
-68.698661353034,-20.00997295378,2685,31,144
-67.036778077412,-20.369299067428,2691,8,-409
-64.746074102906,-20.144720246398,2718,55,1083
-66.27321008591,-21.222698587342,2681,9,1061
-66.27321008591,-19.78539413275,2681,17,699
-67.441019955266,-19.156573433866,2684,22,682
-66.857115020588,-21.13286705893,2678,9,58
-66.587620435352,-20.863372473694,2699,9,368
-67.665598776296,-19.740478368544,2706,13,63
-68.159672182562,-20.369299067428,2684,10,-685
-68.923240174064,-18.527752734982,2696,25,-84
-66.452873142734,-19.605731075926,2680,27,1960
-67.081693841618,-19.291320726484,2695,20,590
-68.429166767798,-19.33623649069,2713,15,-520
-65.419810565996,-19.920141425368,2729,25,45
-68.159672182562,-21.043035530518,2691,19,-527
-67.441019955266,-21.447277408372,2655,8,49
-68.474082532004,-21.177782823136,2641,36,-19
-64.92573715973,-20.324383303222,2740,41,457
-67.665598776296,-20.45913059584,2670,8,-733
-66.093547029086,-19.920141425368,2688,17,724
-66.72236772797,-21.402361644166,2686,12,959
-66.407957378528,-20.68370941687,2699,13,878
-65.37489480179,-21.671856229402,2722,20,763
-67.84526183312,-19.830309896956,2707,11,-394
-64.970652923936,-20.773540945282,2751,37,420
-66.991862313206,-20.9082882379,2674,8,-243
-66.003715500674,-19.56081531172,2677,16,709
-69.057987466682,-19.246404962278,2695,33,563
-67.800346068914,-20.548962124252,2678,9,-717
-68.29441947518,-21.402361644166,2694,27,-338
-68.96815593827,-19.33623649069,2654,29,356
-66.991862313206,-21.13286705893,2670,8,-92
-67.755430304708,-21.447277408372,2666,14,56
-65.240147509172,-20.369299067428,2711,27,1225
-67.710514540502,-19.066741905454,2689,19,376
-66.767283492176,-21.447277408372,2690,12,977
-66.857115020588,-20.189636010604,2707,22,1026
-68.114756418356,-21.447277408372,2681,30,221
-68.06984065415,-19.201489198072,2698,11,-224
-65.958799736468,-20.773540945282,2730,9,331
-68.384251003592,-18.707415791806,2694,19,266
-65.689305151232,-21.492193172578,2720,6,-210
-66.991862313206,-20.054888717986,2703,17,533
-68.563914060416,-19.515899547514,2674,23,68
-67.261356898442,-20.45913059584,2666,6,-719
-68.204587946768,-18.976910377042,2691,14,73
-67.216441134236,-21.492193172578,2651,7,-100
-69.013071702476,-19.965057189574,2716,24,124
-66.72236772797,-20.9082882379,2692,8,-8
-66.003715500674,-18.842163084424,2708,39,1088
-65.59947362282,-19.605731075926,2697,29,367
-68.474082532004,-21.043035530518,2685,31,-285
-67.081693841618,-21.492193172578,2662,8,-20
-66.452873142734,-20.998119766312,2699,10,495
-66.49778890694,-21.492193172578,2689,9,1011
-67.890177597326,-20.414214831634,2674,8,-657
-68.384251003592,-20.593877888458,2680,20,-474
-69.41731358033,-18.842163084424,2723,22,519
-66.363041614322,-18.617584263394,2702,34,701
-67.665598776296,-20.189636010604,2671,7,-728
-68.474082532004,-20.548962124252,2680,27,-297
-68.698661353034,-19.920141425368,2698,26,21
-65.285063273378,-20.369299067428,2739,27,1223
-67.485935719472,-20.638793652664,2674,7,-640
-69.013071702476,-20.324383303222,2700,23,-222
-65.37489480179,-20.054888717986,2742,24,224
-68.698661353034,-21.087951294724,2673,38,-19
-67.081693841618,-18.976910377042,2742,23,726
-65.554557858614,-19.875225661162,2724,27,199
-65.060484452348,-19.78539413275,2717,27,490
-65.240147509172,-20.593877888458,2746,19,381
-68.29441947518,-19.201489198072,2711,13,-357
-69.102903230888,-19.201489198072,2692,33,643
-67.800346068914,-20.593877888458,2680,11,-512
-65.59947362282,-18.931994612836,2753,37,666
-67.485935719472,-19.470983783308,2692,15,87
-66.587620435352,-19.875225661162,2680,28,2181
-68.96815593827,-20.593877888458,2726,21,-299
-66.49778890694,-18.931994612836,2710,31,869
-68.653745588828,-20.548962124252,2679,26,-349
-67.530851483678,-20.68370941687,2676,8,-584
-68.29441947518,-21.177782823136,2701,21,-629
-65.689305151232,-20.144720246398,2738,12,-259
-69.372397816124,-18.752331556012,2708,24,450
-65.554557858614,-21.447277408372,2712,16,825
-68.384251003592,-21.312530115754,2687,31,-297
-65.59947362282,-18.88707884863,2755,36,701
-66.407957378528,-20.504046360046,2708,15,460
-65.644389387026,-21.177782823136,2714,12,766
-66.542704671146,-19.291320726484,2674,31,2226
-66.587620435352,-19.515899547514,2678,34,2680
-66.318125850116,-19.066741905454,2650,36,1428
-68.114756418356,-19.33623649069,2705,12,-299
-65.734220915438,-20.9082882379,2733,10,237
-65.105400216554,-20.144720246398,2752,22,349
-69.1927347593,-19.426068019102,2713,22,458
-66.407957378528,-20.548962124252,2713,13,399
-68.204587946768,-20.504046360046,2696,11,-681
-67.530851483678,-19.830309896956,2691,12,87
-65.419810565996,-21.626940465196,2710,16,512
-68.563914060416,-18.88707884863,2682,22,570
-65.59947362282,-19.470983783308,2710,26,-58
