"decimalLon","decimalLat","bio6","bio14","cmi_max"
-68.29441947518,-21.492193172578,2713,21,-576
-68.608829824622,-21.447277408372,2704,27,-450
-67.800346068914,-21.402361644166,2669,14,-51
-66.632536199558,-21.402361644166,2694,10,954
-66.407957378528,-21.402361644166,2688,8,764
-66.363041614322,-21.402361644166,2683,8,754
-67.306272662648,-21.402361644166,2655,6,-18
-67.530851483678,-21.35744587996,2671,9,-333
-68.204587946768,-21.35744587996,2691,33,-44
-68.024924889944,-21.35744587996,2683,21,-233
-67.39610419106,-21.312530115754,2664,7,-214
-68.249503710974,-21.312530115754,2694,27,-370
-67.306272662648,-21.312530115754,2661,6,-188
-68.024924889944,-21.267614351548,2679,22,-128
-65.913883972262,-21.222698587342,2691,9,842
-67.216441134236,-21.222698587342,2664,6,-7
-68.024924889944,-21.13286705893,2700,14,-726
-68.06984065415,-21.13286705893,2700,15,-720
-67.126609605824,-21.087951294724,2664,8,320
-67.081693841618,-21.087951294724,2667,7,34
-68.878324409858,-21.043035530518,2711,28,-122
-67.485935719472,-20.9082882379,2667,8,-308
-67.665598776296,-20.863372473694,2684,9,-513
-68.024924889944,-20.818456709488,2698,11,-463
-67.306272662648,-20.818456709488,2673,7,-480
-68.833408645652,-20.773540945282,2696,28,-168
-67.62068301209,-20.728625181076,2680,9,-457
-67.216441134236,-20.68370941687,2673,7,-508
-67.62068301209,-20.68370941687,2669,10,-209
-66.991862313206,-20.638793652664,2683,7,-425
-67.800346068914,-20.548962124252,2678,9,-717
-66.857115020588,-20.504046360046,2698,10,-103
-66.946946549,-20.45913059584,2694,8,-283
-66.587620435352,-20.414214831634,2707,12,416
-66.72236772797,-20.414214831634,2690,17,713
-67.575767247884,-20.369299067428,2668,6,-726
-68.833408645652,-20.369299067428,2701,22,-478
-66.902030784794,-20.369299067428,2703,12,91
-68.96815593827,-20.324383303222,2696,25,-219
-66.946946549,-20.324383303222,2703,12,-38
-66.946946549,-20.279467539016,2705,13,126
-67.216441134236,-20.23455177481,2671,7,-693
-67.485935719472,-20.23455177481,2669,6,-740
-68.96815593827,-20.23455177481,2692,24,-171
-68.923240174064,-20.23455177481,2700,22,-314
-67.036778077412,-20.189636010604,2700,11,-212
-68.74357711724,-20.144720246398,2673,36,162
-67.755430304708,-20.144720246398,2674,8,-719
-66.542704671146,-20.099804482192,2693,14,996
-66.407957378528,-20.00997295378,2685,15,656
-66.407957378528,-19.965057189574,2690,17,914
-68.653745588828,-19.920141425368,2705,22,-230
-67.710514540502,-19.920141425368,2696,11,-391
-67.62068301209,-19.920141425368,2691,11,-305
-66.138462793292,-19.830309896956,2696,13,93
-67.575767247884,-19.78539413275,2697,11,-37
-66.363041614322,-19.740478368544,2667,18,1346
