"decimalLon","decimalLat","bio6","bio14","cmi_max"
-65.37489480179,-23.693065618672,2681,128,1238
-68.249503710974,-25.220201601676,2600,18,-385
-67.216441134236,-23.37865526923,2630,20,-464
-66.003715500674,-22.839666098758,2684,4,141
-67.036778077412,-25.938853828972,2620,12,-388
-65.82405244385,-21.537108936784,2727,6,649
-65.105400216554,-23.198992212406,2688,93,1981
-66.72236772797,-22.165929635668,2639,9,1123
-67.306272662648,-26.29817994262,2708,10,-624
-67.216441134236,-26.028685357384,2634,17,-378
-67.935093361532,-24.95070701644,2638,6,-445
-67.800346068914,-22.570171513522,2622,51,-56
-69.776639693978,-28.588883917126,2589,202,872
-68.384251003592,-26.97191640571,2569,50,-253
-67.17152537003,-23.243907976612,2635,18,-497
-67.84526183312,-26.253264178414,2630,5,-516
-66.003715500674,-22.121013871462,2683,5,649
-68.339335239386,-28.049894746654,2636,56,-90
-66.49778890694,-21.986266578844,2676,6,966
-67.62068301209,-21.626940465196,2651,13,112
-67.441019955266,-25.579527715324,2626,12,-412
-68.788492881446,-25.983769593178,2610,44,-323
-66.812199256382,-21.58202470099,2687,12,822
-66.587620435352,-25.489696186912,2681,29,510
-69.731723929772,-28.99312579498,2555,172,952
-68.653745588828,-26.702421820474,2609,41,-231
-69.41731358033,-28.588883917126,2588,80,161
-68.878324409858,-26.702421820474,2571,72,-38
-67.261356898442,-23.513402561848,2630,22,-500
-67.441019955266,-26.792253348886,2668,7,-660
-69.956302750802,-28.588883917126,2605,298,1143
-69.596976637154,-29.44228343704,2609,56,-46
-66.812199256382,-23.558318326054,2644,10,-198
-67.485935719472,-25.265117365882,2693,3,-567
-67.665598776296,-26.927000641504,2676,19,-637
-68.159672182562,-24.546465138586,2654,13,-394
-68.608829824622,-28.004978982448,2565,98,36
-69.821555458184,-29.172788851804,2583,120,535
-68.653745588828,-24.187139024938,2668,7,-566
-65.509642094408,-23.198992212406,2692,11,265
-67.126609605824,-25.220201601676,2649,8,-577
-68.878324409858,-21.80660352202,2711,18,-705
-66.542704671146,-23.648149854466,2648,5,61
-65.060484452348,-21.986266578844,2710,71,1441
-68.474082532004,-24.905791252234,2601,15,-347
-68.29441947518,-24.591380902792,2621,21,-309
-66.318125850116,-23.243907976612,2671,3,-98
-66.902030784794,-21.80660352202,2666,12,746
-66.677451963764,-25.085454309058,2649,23,465
-65.105400216554,-21.986266578844,2726,55,1217
-66.812199256382,-23.513402561848,2636,10,-88
-68.653745588828,-27.735484397212,2586,53,-279
-66.587620435352,-26.97191640571,2695,18,-142
-66.363041614322,-24.456633610174,2649,8,354
-68.788492881446,-27.376158283564,2580,49,-157
-66.587620435352,-22.70491880614,2639,7,1054
-67.351188426854,-24.187139024938,2617,16,-421
-67.39610419106,-25.310033130088,2648,6,-495
-67.935093361532,-28.09481051086,2649,16,-589
-68.878324409858,-26.567674527856,2586,62,-165
-66.632536199558,-22.210845399874,2617,10,1673
-69.372397816124,-27.42107404777,2629,93,58
-67.351188426854,-27.016832169916,2658,8,-172
-68.114756418356,-25.3998646585,2642,9,-461
-65.734220915438,-21.986266578844,2685,7,427
-66.72236772797,-26.657506056268,2692,15,106
-66.767283492176,-22.525255749316,2642,7,496
-69.237650523506,-27.600737104594,2585,154,271
-66.27321008591,-24.366802081762,2650,5,-1
-67.710514540502,-26.163432650002,2607,5,-482
-67.84526183312,-23.198992212406,2688,41,-399
-68.339335239386,-21.716771993608,2670,27,-135
-69.507145108742,-29.352451908628,2592,61,-134
-68.06984065415,-24.905791252234,2619,11,-523
-69.282566287712,-25.84902230056,2665,42,-451
-67.485935719472,-22.345592692492,2618,20,-90
-69.462229344536,-28.723631209744,2559,110,384
-67.306272662648,-27.555821340388,2659,14,3
-68.339335239386,-27.780400161418,2572,57,-132
-69.372397816124,-25.130370073264,2708,13,-623
-67.485935719472,-25.804106536354,2653,7,-569
-69.282566287712,-26.792253348886,2585,80,-65
-68.653745588828,-25.534611951118,2594,26,-273
-68.833408645652,-24.95070701644,2642,12,-408
-67.126609605824,-21.716771993608,2657,10,167
-66.003715500674,-21.851519286226,2698,6,927
-68.06984065415,-26.612590292062,2603,13,-427
-68.788492881446,-28.049894746654,2519,122,58
-67.081693841618,-22.076098107256,2636,15,717
-66.407957378528,-21.761687757814,2672,8,1487
-67.261356898442,-27.106663698328,2676,12,324
-67.980009125738,-26.702421820474,2593,15,-468
-67.126609605824,-23.064244919788,2637,19,-311
-69.282566287712,-25.444780422706,2703,24,-506
-68.788492881446,-27.151579462534,2518,86,184
-67.216441134236,-26.567674527856,2698,9,-621
-67.216441134236,-21.80660352202,2639,15,557
-67.216441134236,-24.05239173232,2660,12,-618
-68.114756418356,-25.354948894294,2653,7,-436
-66.49778890694,-26.163432650002,2648,14,552
-68.923240174064,-21.761687757814,2721,18,-768
-66.857115020588,-24.860875488028,2644,11,-172
-65.644389387026,-22.839666098758,2695,7,631
-68.06984065415,-24.591380902792,2603,17,-333
-69.596976637154,-29.397367672834,2582,67,129
-67.84526183312,-25.444780422706,2605,7,-472
-69.372397816124,-26.52275876365,2644,48,-112
-67.216441134236,-25.085454309058,2653,6,-630
-68.474082532004,-25.085454309058,2613,14,-365
-67.755430304708,-23.648149854466,2655,47,-287
-68.833408645652,-21.58202470099,2675,21,-514
-68.429166767798,-21.671856229402,2662,33,-45
-68.204587946768,-22.525255749316,2700,29,-525
-65.82405244385,-23.198992212406,2696,5,343
-69.64189240136,-29.307536144422,2607,65,-44
-67.755430304708,-23.962560203908,2671,21,-489
-65.554557858614,-22.25576116408,2710,6,295
-66.49778890694,-24.321886317556,2635,10,264
-68.923240174064,-27.331242519358,2560,79,96
