"decimalLon","decimalLat","bio6","bio14","cmi_max"
-69.237650523506,-29.397367672834,2617,63,-339
-69.282566287712,-29.397367672834,2610,58,-298
-69.372397816124,-29.262620380216,2592,60,-156
-69.327482051918,-29.082957323392,2594,61,-176
-69.237650523506,-28.99312579498,2608,48,-233
-69.237650523506,-28.76854697395,2600,59,-167
-69.013071702476,-28.633799681332,2588,59,-195
-68.833408645652,-28.409220860302,2583,77,-229
-68.878324409858,-28.364305096096,2585,68,-254
-68.833408645652,-28.31938933189,2587,71,-283
-68.204587946768,-27.825315925624,2614,44,-173
-68.74357711724,-27.780400161418,2467,143,285
-68.114756418356,-27.690568633006,2634,37,-529
-68.29441947518,-27.6456528688,2562,55,-300
-68.563914060416,-27.6456528688,2602,38,-356
-68.474082532004,-27.6456528688,2555,52,-251
-68.249503710974,-27.6456528688,2601,48,-403
-68.159672182562,-27.600737104594,2642,36,-473
-68.51899829621,-27.600737104594,2577,52,-210
-68.159672182562,-27.555821340388,2626,41,-461
-68.29441947518,-27.510905576182,2557,52,-348
-68.114756418356,-27.465989811976,2633,34,-466
-68.878324409858,-27.331242519358,2547,79,69
-68.114756418356,-27.286326755152,2623,29,-484
-69.147818995094,-27.241410990946,2558,93,42
-69.013071702476,-27.151579462534,2575,84,1
-68.114756418356,-27.151579462534,2598,28,-315
-68.06984065415,-27.106663698328,2616,21,-487
-68.06984065415,-26.97191640571,2603,22,-411
-68.833408645652,-26.97191640571,2583,79,-8
-68.06984065415,-26.927000641504,2609,20,-482
-69.102903230888,-26.882084877298,2596,55,-232
-68.159672182562,-26.882084877298,2593,23,-366
-68.249503710974,-26.882084877298,2562,43,-332
-66.632536199558,-26.837169113092,2655,17,120
-66.767283492176,-26.792253348886,2702,15,-136
-66.902030784794,-26.74733758468,2707,9,-276
-66.991862313206,-26.74733758468,2687,9,-107
-67.17152537003,-26.702421820474,2689,7,-569
-66.946946549,-26.657506056268,2710,6,-409
-66.946946549,-26.657506056268,2710,6,-409
-67.036778077412,-26.612590292062,2620,9,-193
-66.946946549,-26.612590292062,2702,6,-460
-69.013071702476,-26.52275876365,2607,37,-268
-69.237650523506,-26.52275876365,2603,44,-191
-66.857115020588,-26.477842999444,2714,6,-577
-66.857115020588,-26.477842999444,2714,6,-577
-68.878324409858,-26.29817994262,2600,56,-217
-67.036778077412,-26.253264178414,2641,10,-616
-67.081693841618,-26.208348414208,2642,12,-513
-67.351188426854,-26.163432650002,2699,8,-528
-67.306272662648,-26.163432650002,2689,12,-477
-67.351188426854,-26.118516885796,2693,9,-621
-67.39610419106,-26.07360112159,2703,6,-612
-68.833408645652,-26.07360112159,2586,60,-236
-67.665598776296,-26.028685357384,2633,4,-587
-67.485935719472,-26.028685357384,2690,4,-673
-67.351188426854,-25.983769593178,2686,9,-553
-67.216441134236,-25.983769593178,2645,16,-430
-67.17152537003,-25.983769593178,2633,18,-379
-67.351188426854,-25.938853828972,2683,9,-551
-66.857115020588,-25.938853828972,2607,13,93
-67.306272662648,-25.84902230056,2664,11,-462
-67.800346068914,-25.759190772148,2663,4,-525
-67.485935719472,-25.759190772148,2635,9,-535
-67.216441134236,-25.714275007942,2647,10,-482
-67.710514540502,-25.714275007942,2676,5,-575
-67.530851483678,-25.714275007942,2627,12,-474
-67.216441134236,-25.579527715324,2630,8,-401
-67.62068301209,-25.534611951118,2687,5,-472
-67.17152537003,-25.3998646585,2658,6,-567
-66.767283492176,-25.220201601676,2670,18,128
-68.698661353034,-24.995622780646,2645,13,-375
-68.06984065415,-24.95070701644,2609,12,-494
-68.06984065415,-24.905791252234,2619,11,-523
-68.06984065415,-24.72612819541,2595,14,-383
-67.39610419106,-24.591380902792,2670,9,-506
-66.632536199558,-24.456633610174,2681,6,-582
-66.228294321704,-24.456633610174,2632,7,411
-66.991862313206,-24.411717845968,2699,9,-562
-66.677451963764,-24.366802081762,2635,10,-104
-66.228294321704,-24.321886317556,2666,4,-54
-66.946946549,-24.321886317556,2691,12,-486
-66.452873142734,-24.232054789144,2654,7,83
-66.452873142734,-24.232054789144,2654,7,83
-66.318125850116,-24.232054789144,2673,4,-216
-66.407957378528,-24.187139024938,2651,6,117
-66.767283492176,-24.097307496526,2680,10,-186
-66.49778890694,-24.097307496526,2643,7,183
-66.27321008591,-24.097307496526,2678,3,-338
-67.755430304708,-24.007475968114,2664,18,-554
-67.665598776296,-23.962560203908,2660,23,-484
-66.228294321704,-23.962560203908,2683,3,-334
-67.710514540502,-23.962560203908,2668,22,-451
-67.755430304708,-23.917644439702,2671,29,-426
-66.138462793292,-23.917644439702,2695,3,-285
-67.126609605824,-23.872728675496,2652,12,-560
-67.62068301209,-23.782897147084,2601,43,-212
-67.890177597326,-23.782897147084,2690,37,-348
-66.04863126488,-23.782897147084,2705,2,-644
-67.755430304708,-23.782897147084,2625,50,-255
-65.868968208056,-23.782897147084,2720,8,153
-65.689305151232,-23.737981382878,2695,48,1167
-66.27321008591,-23.737981382878,2682,2,-456
-65.644389387026,-23.693065618672,2680,48,1110
-65.689305151232,-23.693065618672,2693,38,766
-67.890177597326,-23.693065618672,2688,39,-381
-66.27321008591,-23.693065618672,2678,2,-394
-66.407957378528,-23.693065618672,2659,3,-318
-67.710514540502,-23.693065618672,2635,49,-2
-65.82405244385,-23.693065618672,2716,12,331
-67.62068301209,-23.693065618672,2575,43,-66
-67.800346068914,-23.648149854466,2671,43,-302
-67.62068301209,-23.60323409026,2608,33,-266
-65.82405244385,-23.60323409026,2710,8,134
-67.84526183312,-23.558318326054,2694,39,-264
-66.003715500674,-23.558318326054,2698,2,-513
-65.779136679644,-23.468486797642,2701,7,300
-67.84526183312,-23.468486797642,2652,43,-95
-67.800346068914,-23.423571033436,2667,43,-227
-66.587620435352,-23.423571033436,2660,4,-495
-66.363041614322,-23.423571033436,2667,2,-449
-67.441019955266,-23.423571033436,2619,26,-420
-64.970652923936,-23.37865526923,2723,120,2740
-66.093547029086,-23.333739505024,2675,3,-230
-65.82405244385,-23.288823740818,2698,5,104
-65.015568688142,-23.243907976612,2682,135,3018
-65.105400216554,-23.243907976612,2661,103,2229
-67.036778077412,-23.243907976612,2656,11,-620
-65.240147509172,-23.198992212406,2719,85,2389
-65.285063273378,-23.198992212406,2735,53,1664
-65.195231744966,-23.198992212406,2686,117,3286
-67.575767247884,-23.1540764482,2604,41,-385
-65.060484452348,-23.1540764482,2676,118,2305
-65.689305151232,-23.1540764482,2672,7,921
-67.84526183312,-23.1540764482,2681,43,-403
-66.991862313206,-23.109160683994,2652,10,-571
-67.665598776296,-22.974413391376,2620,46,-386
-67.710514540502,-22.974413391376,2614,60,-133
-67.800346068914,-22.974413391376,2616,64,-143
-65.509642094408,-22.92949762717,2710,9,139
-67.890177597326,-22.884581862964,2675,55,-342
-65.240147509172,-22.884581862964,2723,79,1836
-65.644389387026,-22.884581862964,2696,7,681
-67.710514540502,-22.884581862964,2628,51,-266
-65.689305151232,-22.839666098758,2692,6,563
-67.755430304708,-22.794750334552,2653,46,-406
-67.62068301209,-22.794750334552,2608,44,-275
-67.800346068914,-22.794750334552,2657,49,-362
-68.06984065415,-22.794750334552,2733,35,-515
-65.779136679644,-22.749834570346,2684,4,80
-65.734220915438,-22.70491880614,2685,4,118
-66.183378557498,-22.70491880614,2665,4,915
-68.159672182562,-22.70491880614,2717,29,-587
-65.82405244385,-22.70491880614,2677,4,548
-68.024924889944,-22.70491880614,2699,43,-422
-68.114756418356,-22.70491880614,2719,36,-513
-67.890177597326,-22.660003041934,2607,58,-20
-66.228294321704,-22.660003041934,2663,4,1025
-67.665598776296,-22.660003041934,2634,36,-387
-67.84526183312,-22.615087277728,2613,57,4
-68.06984065415,-22.615087277728,2680,40,-349
-68.024924889944,-22.615087277728,2665,44,-240
-68.204587946768,-22.570171513522,2706,27,-600
-67.485935719472,-22.570171513522,2632,20,-488
-66.04863126488,-22.570171513522,2671,3,569
-66.183378557498,-22.570171513522,2665,4,1138
-66.72236772797,-22.525255749316,2638,7,812
-65.958799736468,-22.525255749316,2669,3,174
-65.779136679644,-22.525255749316,2677,5,577
-65.913883972262,-22.525255749316,2666,4,204
-68.159672182562,-22.48033998511,2686,34,-360
-65.913883972262,-22.48033998511,2665,4,273
-67.62068301209,-22.48033998511,2644,23,-512
-67.84526183312,-22.48033998511,2643,47,-108
-67.530851483678,-22.48033998511,2642,20,-506
-68.159672182562,-22.48033998511,2686,34,-360
-66.003715500674,-22.48033998511,2671,3,369
-67.84526183312,-22.48033998511,2643,47,-108
-65.195231744966,-22.435424220904,2691,110,1943
-68.114756418356,-22.390508456698,2687,35,-271
-65.958799736468,-22.390508456698,2672,4,246
-65.240147509172,-22.390508456698,2713,75,1585
-68.159672182562,-22.390508456698,2685,33,-297
-67.800346068914,-22.390508456698,2632,39,-164
-65.779136679644,-22.390508456698,2676,6,643
-66.04863126488,-22.345592692492,2674,4,608
-65.958799736468,-22.345592692492,2674,4,266
-65.329979037584,-22.345592692492,2724,46,1728
-67.84526183312,-22.345592692492,2637,36,-190
-68.024924889944,-22.300676928286,2683,40,-136
-68.159672182562,-22.25576116408,2715,29,-366
-67.216441134236,-22.25576116408,2617,19,807
-68.204587946768,-22.25576116408,2717,27,-415
-65.15031598076,-22.25576116408,2739,78,1108
-65.240147509172,-22.25576116408,2701,75,1726
-65.554557858614,-22.25576116408,2710,6,295
-65.285063273378,-22.210845399874,2727,59,1833
-67.800346068914,-22.210845399874,2669,23,-489
-66.183378557498,-22.210845399874,2653,5,1209
-67.126609605824,-22.210845399874,2652,13,368
-68.024924889944,-22.210845399874,2681,40,-93
-65.105400216554,-22.210845399874,2690,130,2011
-67.800346068914,-22.210845399874,2669,23,-489
-65.509642094408,-22.165929635668,2721,7,220
-67.710514540502,-22.165929635668,2655,26,-304
-65.37489480179,-22.165929635668,2733,21,1324
-67.62068301209,-22.121013871462,2634,23,-129
-67.485935719472,-22.121013871462,2633,17,-155
-65.868968208056,-22.076098107256,2682,7,527
-65.509642094408,-22.076098107256,2721,7,193
-67.530851483678,-22.076098107256,2630,18,-106
-67.575767247884,-22.076098107256,2626,20,-72
-65.419810565996,-22.076098107256,2731,11,605
-67.890177597326,-22.03118234305,2654,26,-223
-68.339335239386,-22.03118234305,2658,33,-120
-65.285063273378,-22.03118234305,2739,41,2101
-65.329979037584,-21.986266578844,2738,28,1521
-65.15031598076,-21.986266578844,2734,58,1566
-65.240147509172,-21.986266578844,2738,50,2148
-67.351188426854,-21.986266578844,2651,13,-215
-67.62068301209,-21.941350814638,2639,15,-269
-68.51899829621,-21.941350814638,2719,24,-438
-67.530851483678,-21.941350814638,2631,17,-53
-65.015568688142,-21.896435050432,2696,62,1224
-67.530851483678,-21.896435050432,2617,19,274
-66.946946549,-21.851519286226,2661,13,1064
-66.138462793292,-21.851519286226,2678,6,861
-68.474082532004,-21.851519286226,2705,27,-236
-67.890177597326,-21.851519286226,2650,19,-180
-66.542704671146,-21.80660352202,2654,10,1473
-65.105400216554,-21.761687757814,2717,53,1303
-66.632536199558,-21.761687757814,2659,14,2003
-66.677451963764,-21.761687757814,2669,13,1490
-67.800346068914,-21.761687757814,2622,19,241
-67.62068301209,-21.716771993608,2628,17,385
-66.587620435352,-21.716771993608,2667,12,1589
-68.29441947518,-21.671856229402,2687,24,-307
-67.800346068914,-21.626940465196,2660,13,-259
-66.767283492176,-21.626940465196,2684,12,1141
-64.970652923936,-21.626940465196,2684,45,991
-66.632536199558,-21.58202470099,2687,13,1359
-68.06984065415,-21.58202470099,2695,22,-198
-67.216441134236,-21.58202470099,2652,8,-88
-68.384251003592,-21.58202470099,2680,26,-306
-66.49778890694,-21.58202470099,2671,10,1677
-68.06984065415,-21.537108936784,2682,28,185
-66.72236772797,-21.537108936784,2692,13,1078
-69.911386986596,-28.633799681332,2606,263,1046
-69.057987466682,-27.600737104594,2562,97,105
-69.057987466682,-27.555821340388,2577,95,130
-69.057987466682,-27.510905576182,2575,91,76
-69.282566287712,-27.510905576182,2580,148,247
-69.102903230888,-27.510905576182,2588,95,17
-69.237650523506,-27.465989811976,2597,106,36
-69.013071702476,-27.42107404777,2588,79,-2
-69.237650523506,-27.376158283564,2579,117,196
-69.013071702476,-27.286326755152,2589,62,-89
-69.147818995094,-27.061747934122,2599,59,-160
-68.96815593827,-27.061747934122,2589,80,-34
-69.1927347593,-27.061747934122,2581,76,-23
-69.013071702476,-27.061747934122,2594,75,-100
-69.147818995094,-27.016832169916,2578,69,-81
-69.057987466682,-26.97191640571,2597,61,-191
-69.1927347593,-26.118516885796,2616,44,-252
-68.878324409858,-25.17528583747,2652,10,-448
-68.698661353034,-25.130370073264,2644,16,-332
-68.698661353034,-25.085454309058,2599,18,-187
-69.057987466682,-25.085454309058,2644,10,-467
-68.653745588828,-25.085454309058,2630,17,-412
-68.608829824622,-24.995622780646,2655,11,-381
-69.057987466682,-24.995622780646,2653,7,-476
-68.96815593827,-24.95070701644,2655,6,-529
-68.788492881446,-24.95070701644,2642,13,-397
-69.102903230888,-24.95070701644,2646,9,-444
-68.608829824622,-24.905791252234,2643,16,-297
-68.608829824622,-24.771043959616,2612,20,-230
-68.608829824622,-24.681212431204,2624,20,-328
-68.51899829621,-24.681212431204,2591,21,-309
-68.698661353034,-24.681212431204,2639,16,-356
-68.339335239386,-24.636296666998,2619,18,-217
-68.608829824622,-24.591380902792,2645,18,-337
-68.51899829621,-24.591380902792,2611,22,-375
-68.653745588828,-24.546465138586,2651,16,-357
-68.474082532004,-24.456633610174,2650,16,-426
-68.429166767798,-24.456633610174,2657,13,-472
-68.29441947518,-24.411717845968,2659,17,-276
-68.474082532004,-24.411717845968,2666,12,-444
-68.474082532004,-24.366802081762,2671,10,-486
-68.474082532004,-24.187139024938,2673,7,-538
-68.429166767798,-24.187139024938,2688,7,-420
-67.575767247884,-24.097307496526,2667,14,-531
-68.29441947518,-24.097307496526,2711,8,-390
-67.485935719472,-23.962560203908,2621,24,-429
-67.441019955266,-23.917644439702,2606,24,-465
-67.800346068914,-23.872728675496,2673,41,-379
-67.485935719472,-23.82781291129,2599,30,-311
-67.84526183312,-23.82781291129,2676,41,-313
-67.84526183312,-23.782897147084,2682,43,-324
-67.441019955266,-23.782897147084,2623,27,-364
-67.485935719472,-23.737981382878,2608,32,-327
-67.351188426854,-23.693065618672,2618,28,-423
-67.216441134236,-23.648149854466,2625,22,-477
-67.710514540502,-23.513402561848,2653,37,-326
-67.710514540502,-23.513402561848,2653,37,-326
-67.216441134236,-23.468486797642,2638,17,-595
-67.575767247884,-23.243907976612,2600,35,-336
-67.261356898442,-23.198992212406,2640,20,-528
-67.261356898442,-23.198992212406,2640,20,-528
-67.530851483678,-23.198992212406,2610,32,-450
-67.306272662648,-23.198992212406,2637,20,-502
-67.39610419106,-23.1540764482,2629,24,-507
-67.126609605824,-23.1540764482,2637,19,-371
-67.575767247884,-23.109160683994,2608,40,-459
-67.39610419106,-23.109160683994,2627,22,-480
